formula,defectid,site,Eb_sum,Vr_max,Eg,Ev,Ehull
Al2O3,0009540,1,10.6491355087814,-2.8945619964631555,5.8646,6.995,0.0
Al2O3,0009576,1,10.6491355087814,-2.8945619964631555,5.8647,6.995,0.0
Ba1O1,0009594,1,10.1806561538994,-2.8403280769497066,2.095,5.6919,0.0
Ca1O1,0009596,1,11.02027475298438,-3.2905001259273035,3.6404,6.9863,0.0
Co3O4,0009648,1,5.72459781298482,0.11329416,1.6478,4.1201,0.0
Fe1O1,0009684,1,9.67998,-1.41,1.089,5.0763,0.0
Fe2O3,0009808,1,8.29797985593916,-1.2626789622871115,1.8317,3.5343,0.0
In2O3,0009889,1,7.47875906640848,-1.5993795332042406,0.9505,3.7275,0.0
Mg1O1,0009973,1,10.34514457614648,-3.116950431898758,4.4752,6.8887,0.0
Ni1O1,0010021,1,9.524315417058359,-1.242157708529182,2.3894,3.7973,0.0
O1Sr1,0010079,1,10.45564758822924,-3.0678237941146254,3.2796,6.5707,0.0
Co1O1,0010389,1,6.30239125193928,-1.2318970816502175,1.0462,4.2751,0.0020999999999999908
Mn1O1,0010438,1,6.339471572871,-1.994603679653242,0.7035,4.4315,0.0015999999999998238
Co1O1,0010528,1,6.30239125193928,-1.2318970816502175,1.2341,4.3434,0.0
O2Ti1,0010549,1,9.91693523926386,-1.9122077365342869,2.2705,4.9268,0.0
Mn1O1,0010576,1,6.339471572871,-1.994603679653242,0.8642,4.4297,0.0
O2Ti1,0010720,1,9.91693523926386,-1.9122077365342869,1.9186,4.9636,0.02090000000000014
O2Ti1,0010731,1,6.61129015950924,-1.9122077365342869,3.3933,5.9328,0.08420000000000005
Mn1O2,0011671,1,6.7593740107336195,-0.433744681701679,0.1764,2.0859,0.021099999999999897
O2Ti1,0011764,1,9.91693523926386,-1.9122077365342869,2.2989,4.9109,0.013199999999999878
O2Ti1,0011764,2,9.91693523926386,-1.9122077365342869,2.2989,5.3669,0.013199999999999878
La2O3,0111542,1,11.78094248654992,-3.100471243274967,3.4842,6.5007,0.0
Mn1O2,0125667,1,6.7593740107336195,-0.433744681701679,1.3886,2.7443,0.0
Mn1O2,0125667,2,6.7593740107336195,-0.433744681701679,1.3886,2.145,0.0
Co1O2,0187243,1,2.445,-0.8945,1.2038,1.7236,0.0
Fe3O4,0191339,1,7.8368148919543685,-1.2626789622871115,0.0471,3.3108,0.0
Fe3O4,0191339,2,7.3756499279695795,-1.2626789622871115,0.0471,3.3922,0.0
Ce1O2,0289838,1,10.41059977213276,-1.974911567461291,2.0527,3.5104,0.0
Ce2O3,0289862,1,17.546287976804223,-3.108762658934736,1.4514,6.4062,0.0
Ce2O3,0289862,2,11.69752531786948,-3.108762658934736,1.4514,6.6495,0.0
La2O3,0289934,1,17.67141372982488,-3.100471243274967,4.0199,6.3604,0.027499999999999858
La2O3,0289934,2,11.78094248654992,-3.100471243274967,4.0199,6.7049,0.027499999999999858
Nb2O5,0290102,1,9.56538601143292,-1.6041816447738562,2.6936,5.3318,0.0035000000000002807
Nb2O5,0290102,2,9.56538601143292,-1.6041816447738562,2.6936,4.7876,0.0035000000000002807
Nb2O5,0290102,3,14.34807901714938,-1.6041816447738562,2.6936,5.8008,0.0035000000000002807
Nb2O5,0290125,1,9.56538601143292,-1.6041816447738562,2.0917,5.8598,0.0
Nb2O5,0290125,2,14.34807901714938,-1.6041816447738562,2.0917,5.3219,0.0
Nb2O5,0290125,3,9.56538601143292,-1.6041816447738562,2.0917,4.3313,0.0
O3Y2,0290296,1,12.0946445132752,-3.290655589970924,3.7932,6.5735,0.0
